"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2022","34,200.0","33,860.0","34,200.0","33,500.0","25.32K","1.00%"
"01/06/2022","33,860.0","32,870.0","33,860.0","31,800.0","53.67K","-0.41%"
"01/05/2022","34,000.0","34,800.0","34,800.0","33,810.0","31.62K","-2.41%"
"01/04/2022","34,840.0","34,490.0","34,840.0","34,490.0","34.99K","0.99%"
"01/03/2022","34,500.0","34,600.0","34,600.0","34,000.0","8.35K","-0.58%"
"12/30/2021","34,700.0","34,700.0","34,700.0","33,980.0","44.95K","0.00%"
"12/29/2021","34,700.0","33,300.0","34,700.0","32,700.0","46.85K","4.24%"
"12/28/2021","33,290.0","32,960.0","33,290.0","32,790.0","34.65K","1.00%"
"12/27/2021","32,960.0","32,500.0","33,260.0","32,500.0","7.81K","-1.26%"
"12/24/2021","33,380.0","32,750.0","33,700.0","32,700.0","12.96K","1.15%"
"12/23/2021","33,000.0","33,490.0","33,680.0","33,000.0","107.98K","-2.02%"
"12/22/2021","33,680.0","33,390.0","33,680.0","32,400.0","76.05K","3.63%"
"12/21/2021","32,500.0","33,300.0","33,600.0","32,500.0","264.25K","-3.56%"
"12/20/2021","33,700.0","32,990.0","33,890.0","32,290.0","101.61K","-1.35%"
"12/17/2021","34,160.0","34,490.0","34,500.0","32,530.0","618.99K","0.47%"
"12/16/2021","34,000.0","33,100.0","34,000.0","33,000.0","159.40K","4.33%"
"12/15/2021","32,590.0","33,320.0","33,320.0","31,710.0","47.25K","3.43%"
"12/14/2021","31,510.0","31,800.0","31,800.0","31,100.0","102.23K","1.97%"
"12/13/2021","30,900.0","31,790.0","33,110.0","30,900.0","49.13K","-4.10%"
"12/10/2021","32,220.0","32,220.0","32,500.0","32,100.0","50.06K","-1.17%"
"12/09/2021","32,600.0","30,300.0","33,300.0","30,300.0","152.74K","0.93%"
"12/07/2021","32,300.0","34,570.0","34,570.0","32,300.0","399.60K","-6.40%"
"12/06/2021","34,510.0","34,600.0","35,200.0","34,510.0","183.64K","-1.40%"
"12/03/2021","35,000.0","35,130.0","36,490.0","35,000.0","216.79K","-2.45%"
"12/02/2021","35,880.0","34,000.0","35,880.0","34,000.0","446.52K","4.00%"
"12/01/2021","34,500.0","32,660.0","34,960.0","32,660.0","1.13M","6.58%"
"11/30/2021","32,370.0","30,400.0","32,370.0","30,300.0","669.01K","6.48%"
"11/29/2021","30,400.0","30,350.0","30,700.0","30,210.0","247.78K","1.16%"
"11/26/2021","30,050.0","30,220.0","30,390.0","29,510.0","91.20K","-1.64%"
"11/25/2021","30,550.0","30,800.0","30,800.0","30,500.0","69.41K","0.16%"
"11/24/2021","30,500.0","30,100.0","30,500.0","30,100.0","30.21K","0.66%"
"11/23/2021","30,300.0","30,530.0","30,570.0","30,000.0","26.33K","0.03%"
"11/22/2021","30,290.0","30,400.0","31,460.0","30,290.0","52.03K","0.97%"
"11/19/2021","30,000.0","30,530.0","30,850.0","30,000.0","59.50K","-2.91%"
"11/18/2021","30,900.0","30,790.0","31,110.0","30,660.0","137.33K","0.98%"
"11/17/2021","30,600.0","31,100.0","31,100.0","29,630.0","859.66K","-1.61%"
"11/16/2021","31,100.0","31,940.0","31,940.0","31,040.0","82.53K","-3.30%"
