"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2023","42,520.0","42,990.0","43,000.0","42,130.0","20.79K","-1.12%"
"05/12/2023","43,000.0","43,000.0","43,900.0","42,950.0","96.08K","-2.29%"
"05/11/2023","44,010.0","45,510.0","45,510.0","44,010.0","2.63K","-3.27%"
"05/10/2023","45,500.0","45,500.0","45,500.0","45,500.0","0.25K","2.02%"
"05/09/2023","44,600.0","45,000.0","45,900.0","44,600.0","7.72K","0.27%"
"05/08/2023","44,480.0","45,000.0","45,000.0","44,100.0","34.03K","0.41%"
"05/05/2023","44,300.0","44,500.0","45,500.0","42,350.0","28.12K","0.00%"
"05/04/2023","44,300.0","44,000.0","44,500.0","43,280.0","34.57K","0.91%"
"05/03/2023","43,900.0","43,280.0","43,980.0","42,550.0","73.07K","3.17%"
"05/02/2023","42,550.0","42,100.0","42,770.0","42,040.0","63.19K","1.09%"
"04/28/2023","42,090.0","40,900.0","43,390.0","40,900.0","28.18K","2.91%"
"04/27/2023","40,900.0","37,310.0","40,900.0","37,310.0","7.76K","2.92%"
"04/26/2023","39,740.0","39,520.0","40,200.0","38,000.0","15.56K","-0.15%"
"04/25/2023","39,800.0","40,000.0","41,500.0","39,800.0","5.58K","-1.97%"
"04/24/2023","40,600.0","40,600.0","40,600.0","40,550.0","12.34K","0.00%"
"04/21/2023","40,600.0","40,800.0","40,800.0","40,600.0","2.37K","-3.33%"
"04/20/2023","42,000.0","40,760.0","42,000.0","40,760.0","16.68K","-2.03%"
"04/18/2023","42,870.0","43,000.0","43,000.0","41,920.0","15.71K","-0.30%"
"04/17/2023","43,000.0","43,500.0","44,000.0","43,000.0","5.73K","0.05%"
"04/14/2023","42,980.0","41,800.0","42,990.0","41,360.0","770.05K","2.33%"
"04/13/2023","42,000.0","39,130.0","43,000.0","39,000.0","5.76M","4.24%"
"04/12/2023","40,290.0","39,010.0","40,290.0","39,010.0","12.09K","0.37%"
"04/11/2023","40,140.0","40,000.0","40,300.0","40,000.0","25.51K","0.35%"
"04/10/2023","40,000.0","37,820.0","40,000.0","37,810.0","7.41K","-1.04%"
"04/05/2023","40,420.0","40,400.0","40,420.0","40,400.0","7.45K","1.15%"
"04/04/2023","39,960.0","40,880.0","40,890.0","38,330.0","11.67K","-0.10%"
"04/03/2023","40,000.0","40,450.0","40,450.0","40,000.0","4.84K","-1.11%"
"03/31/2023","40,450.0","40,000.0","40,500.0","40,000.0","31.42K","1.13%"
"03/30/2023","40,000.0","39,990.0","40,000.0","39,100.0","26.84K","3.12%"
"03/29/2023","38,790.0","40,000.0","40,400.0","38,780.0","13.47K","-1.80%"
"03/28/2023","39,500.0","39,200.0","41,000.0","39,100.0","7.01K","-1.25%"
"03/27/2023","40,000.0","37,700.0","40,000.0","37,500.0","41.19K","6.67%"
"03/24/2023","37,500.0","37,500.0","37,500.0","37,500.0","20.42K","3.88%"
"03/23/2023","36,100.0","38,200.0","38,200.0","36,100.0","16.62K","-3.71%"
"03/22/2023","37,490.0","37,000.0","38,760.0","37,000.0","19.87K","4.14%"
"03/21/2023","36,000.0","32,970.0","36,000.0","32,970.0","3.93M","9.19%"
"03/17/2023","32,970.0","34,710.0","34,710.0","32,970.0","859.29K","-5.80%"
"03/16/2023","35,000.0","35,000.0","35,000.0","35,000.0","70.23K","-4.19%"
"03/15/2023","36,530.0","35,800.0","37,000.0","35,000.0","68.86K","2.04%"
"03/14/2023","35,800.0","33,500.0","35,800.0","33,500.0","26.24K","5.29%"
"03/13/2023","34,000.0","33,490.0","34,000.0","31,850.0","121.12K","1.49%"
"03/10/2023","33,500.0","34,000.0","34,000.0","33,500.0","31.87K","-0.59%"
